key,issueType,summary,status,project,priority,assignee,reporter,storyPoints,created,updated,due,featureLink,sprint
PGM-1,Epic,Client A Platform Migration (legacy to modern),In Progress,PGM,High,dev-01,dev-01,,2026-01-23,2026-04-23,2026-06-22,,
PNR-806,Story,Client A Migration (Legacy Platform to Modern Platform) - Site of Care (SoC) - [Carriers Web],Refinement,PNR,Low,dev-01,dev-01,1.0,2026-03-28,2026-03-28,,PGM-1,
PNR-802,Story,Client A Migration (Legacy Platform to Modern Platform) - Turnaround Times/ Case Save Logic - [Carriers Web],Ready for Refinement,PNR,Low,dev-01,dev-02,1.0,2026-03-22,2026-03-22,,PGM-1,
PNR-801,Story,Client A Migration (Legacy Platform to Modern Platform) - BLCP Indicator Pathway - CW - QA Only,Ready to Work,PNR,Low,dev-03,dev-02,1.0,2026-03-22,2026-03-22,,PGM-1,
PNR-764,Story,Client A Migration (Legacy Platform to Modern Platform) - Ordering Provider OON Auto Exclusion (CW),Ready to Work,PNR,Low,dev-04,dev-02,0.0,2026-02-20,2026-03-22,,PGM-1,
PNR-763,Story,Client A Migration (Legacy Platform to Modern Platform) - MMVAP - CW,Ready for Refinement,PNR,Low,dev-01,dev-02,0.0,2026-02-20,2026-03-17,,PGM-1,
PNR-762,Story,Client A Migration (Legacy Platform to Modern Platform) - Program Specific Rules - MSK Pain & Joint (CW),Working,PNR,Low,dev-05,dev-02,2.0,2026-02-11,2026-03-28,,PGM-1,Panthers Sprint 26.2.3
PNR-761,Story,Client A Migration (Legacy Platform to Modern Platform) - Program Specific Rules - Cardiology/Radiology (CW),Ready to Work,PNR,Low,dev-05,dev-02,2.0,2026-02-11,2026-03-28,,PGM-1,Panthers Sprint 26.2.3
PNR-760,Story,Client A Migration (Legacy Platform to Modern Platform) - Self Referring Logic (CW) - QA Only,Ready to Work,PNR,Low,dev-01,dev-02,0.0,2026-01-28,2026-03-17,,PGM-1,
PNR-759,Story,Client A Migration (Legacy Platform to Modern Platform) - Place of Service (CW) - QA Only,Ready to Work,PNR,Low,dev-01,dev-02,0.0,2026-01-28,2026-03-22,,PGM-1,
PNR-758,Story,Client A Migration (Legacy Platform to Modern Platform) - FTSA (PSMND),Ready for Refinement,PNR,Low,,dev-06,0.0,2026-02-10,2026-03-17,,PGM-1,
PNR-757,Story,Client A Migration (Legacy Platform to Modern Platform) - Site Selection (CW),Working,PNR,Low,dev-04,dev-02,3.0,2026-01-24,2026-03-22,,PGM-1,Panthers Sprint 26.2.3
PNR-755,Story,"Client A Migration (Legacy Platform to Modern Platform) - CAR,RAD,MSK - Member Eligibility Scenerios (CW) - Code",Working,PNR,Low,dev-07,dev-02,2.0,2026-01-23,2026-03-27,,PGM-1,Panthers Sprint 26.2.3
PNR-754,Story,"Client A Migration (Legacy Platform to Modern Platform) - CAR,RAD,MSK - Member Eligibility Messaging (CW) - Config",Ready for QA,PNR,Low,dev-07,dev-02,1.0,2026-02-20,2026-03-28,,PGM-1,Panthers Sprint 26.2.3
TSU-1276,Story,Client A Migration (Legacy Platform to Modern Platform) - Program Specific Rules - Card/Rad/MSK (Modern Platform) - Type1/Type 2 NPI Selection,In Development,TSU,Low,dev-08,dev-06,3.0,2026-03-23,2026-03-28,,PGM-1,TSU Sprint 26.2.3
TSU-1263,Story,Client A Migration (Legacy Platform to Modern Platform) - Site of Care (SoC) - Workflow DB Changes,In Development,TSU,Low,dev-09,dev-06,5.0,2026-03-21,2026-03-28,,PGM-1,TSU Sprint 26.2.3
TSU-1254,Story,Client A Migration (Legacy Platform to Modern Platform) - Site of Care (SoC) - Exceptions (Modern Platform),Ready to Work,TSU,Low,dev-09,dev-06,5.0,2026-03-21,2026-03-28,,PGM-1,TSU Sprint 26.2.4
TSU-1246,Story,Spike - Client A Migration (Legacy Platform to Modern Platform) - FDX Auto Approval & Exception,Done,TSU,Low,dev-10,dev-06,2.0,2026-03-16,2026-03-24,,PGM-1,TSU Sprint 26.2.3
TSU-1223,Story,Client A Migration (Legacy Platform to Modern Platform) - MMVAP - Configuration,Ready to Accept,TSU,Low,dev-06,dev-06,1.0,2026-03-15,2026-03-27,,PGM-1,TSU Sprint 26.2.3
TSU-1222,Story,"Client A Migration (Legacy Platform to Modern Platform) - CAR,RAD,MSK - Member Eligibility Messaging (Modern Platform) - (eviConfig) - QA Testing",To Do,TSU,Low,dev-11,dev-06,1.0,2026-03-15,2026-03-20,,PGM-1,
TSU-1221,Story,Client A Migration (Legacy Platform to Modern Platform) - Ordering Provider OON Auto Exclusion (Modern Platform) - QA Testing,To Do,TSU,Low,dev-12,dev-06,3.0,2026-03-15,2026-03-15,,PGM-1,
TSU-1220,Story,"Client A Migration (Legacy Platform to Modern Platform) - CAR,RAD,MSK - Member Eligibility Scenerios (Modern Platform)  - Retro Scenerio",In Development,TSU,Low,dev-10,dev-06,2.0,2026-03-15,2026-03-24,,PGM-1,TSU Sprint 26.2.3
TSU-1219,Story,"Client A Migration (Legacy Platform to Modern Platform) - CAR,RAD,MSK - Member Eligibility Scenerios (Modern Platform)  - QA Testing",To Do,TSU,Low,dev-06,dev-06,5.0,2026-03-15,2026-03-20,,PGM-1,
TSU-1218,Story,Client A Migration (Legacy Platform to Modern Platform) - Auth Error Reconciliation - Export Override Tool Changes - QA Testing,To Do,TSU,Low,dev-09,dev-06,1.0,2026-03-15,2026-03-20,,PGM-1,
TSU-1217,Story,Client A Migration (Legacy Platform to Modern Platform) - Site Selection (Modern Platform) - QA Test Prep,Ready for QA,TSU,Low,dev-12,dev-06,3.0,2026-03-15,2026-03-28,,PGM-1,TSU Sprint 26.2.3
TSU-1208,Story,Client A Migration (Legacy Platform to Modern Platform) - Auth Error Reconciliation - Enable OBRT Queue -  (eviConfig) - QA Only,To Do,TSU,Low,dev-11,dev-06,2.0,2026-03-15,2026-03-20,,PGM-1,
TSU-1207,Story,Client A Migration (Legacy Platform to Modern Platform) - Program Specific Rules - Cardiology/Radiology (Modern Platform) - QA Only,To Do,TSU,Low,dev-13,dev-06,5.0,2026-03-15,2026-03-20,,PGM-1,
TSU-1190,Story,Client A Migration (Legacy Platform to Modern Platform) - Legacy Platform SQL - Details about a case (using an SOID),Working,TSU,Low,dev-14,dev-06,20.0,2026-02-03,2026-03-15,,PGM-1,TSU Sprint 26.2.3
TSU-1133,Story,Client A Migration (Legacy Platform to Modern Platform) - Site Selection (Modern Platform) - Additional Requirement,In Development,TSU,Low,dev-09,dev-06,3.0,2026-03-09,2026-03-27,,PGM-1,TSU Sprint 26.2.3
TSU-1060,Story,Client A Migration (Legacy Platform to Modern Platform) - Add Company ID 3 - QA Testing,Ready to Work,TSU,Low,,dev-06,2.0,2026-03-06,2026-03-20,,PGM-1,TSU Sprint 26.2.4
TSU-1034,Story,Client A Migration (Legacy Platform to Modern Platform) - Site of Care (SoC) - Widget Configuration,In Development,TSU,Low,dev-10,dev-06,3.0,2026-03-02,2026-03-28,,PGM-1,TSU Sprint 26.2.3
TSU-1023,Story,"Client A Migration (Legacy Platform to Modern Platform) - CPT Code Load (Radiology, Cardiology) - Tracker CPT Load",Ready to Work,TSU,Low,,dev-06,0.0,2026-02-28,2026-03-14,,PGM-1,
TSU-1022,Story,Client A Migration (Legacy Platform to Modern Platform) - Enable Fax Case Creation - (eviConfig),Ready to Work,TSU,Low,,dev-06,0.0,2026-02-28,2026-03-15,,PGM-1,TSU Sprint 26.2.4
TSU-1021,Story,Client A Migration (Legacy Platform to Modern Platform) - Plan Code Configurations (Modern Platform) - (eviConfig),Ready to Work,TSU,Low,,dev-06,0.0,2026-02-28,2026-03-15,,PGM-1,TSU Sprint 26.2.4
TSU-1019,Story,Client A Migration (Legacy Platform to Modern Platform) - Health Plan Configuration (Modern Platform) - (eviConfig),Ready to Work,TSU,Low,,dev-06,0.0,2026-02-28,2026-03-15,,PGM-1,TSU Sprint 26.2.4
TSU-1009,Story,Client A Migration (Legacy Platform to Modern Platform) - Turnaround Times/ Case Save Logic - Turnaround Time (TAT) Rule Configuration - QA Test Prep,Ready for QA,TSU,Low,dev-12,dev-06,3.0,2026-02-28,2026-03-28,,PGM-1,TSU Sprint 26.2.3
TSU-1008,Story,Client A Migration (Legacy Platform to Modern Platform) - Turnaround Times/ Case Save Logic - T Priority 0days- Code change (CW),To Do,TSU,Low,,dev-06,1.0,2026-02-28,2026-03-15,,PGM-1,
